runcat,eta,V,maxFlx,avgFlx,freq,dpts,newSrc,ra,dec
30758,0.2900589001378933,0.022548966962665406,1.0356938416439148,1.0160686888796884,148.9242553711,6,N,188.34514859162547,50.80650177062136
30759,0.45929010581482016,0.10391406535535402,0.3006386863150544,0.27796433513513924,148.9242553711,6,N,188.05159990478865,50.82105007807252
30760,0.15422577595551845,0.05172904074241325,0.32881142339851693,0.2956572929135698,148.9242553711,6,N,190.34876039857224,55.4963760786082
30761,0.35985881135946596,0.05772551750449201,0.4507331875178569,0.42337943547522194,148.9242553711,5,N,190.12145812550625,54.64176608650162
30762,1.3171773115865972,0.020834804149039966,2.239882293451296,2.1997277950089504,148.9242553711,6,N,190.0581437302977,54.696376299602406
30763,0.0457680209128622,0.025532493153559932,0.3416875431564725,0.331761683702686,148.9242553711,6,N,190.0057134376777,55.54149150155038
30764,0.10182851850485136,0.02069998029410575,0.6783946616230087,0.6736891348109117,148.9242553711,6,N,189.84608925440554,54.6630209026746
30765,0.11834745089085781,0.030424496272072336,0.4430900920944126,0.42171290106743087,148.9242553711,6,N,189.29983776422836,54.78794428194751
30766,0.4005555651641204,0.09125032221359777,0.28788415870713546,0.24950822823965207,148.9242553711,6,N,189.20311094564332,55.41531627808317
30767,0.2751417308087633,0.05053307044500693,0.44810564734048,0.437490529927969,148.9242553711,6,N,189.18056669980808,55.30609629675114
30768,0.4567398150373789,0.08764643556457204,0.3235708636956794,0.2907059550855948,148.9242553711,6,N,188.97469765904978,55.05202244819655
30769,0.05913632726538304,0.0380691320668033,0.24980327637768165,0.24200511271789613,148.9242553711,6,N,188.97819553327724,54.31173387941085
30770,0.20827188803172267,0.02939489544511403,0.5870705459695538,0.5521526936994878,148.9242553711,6,N,188.7523644026759,54.99784003405728
30771,0.3669188698072328,0.06740827798398001,0.44195690972403473,0.4060407712144696,148.9242553711,6,N,188.74600584196295,53.9844039710095
30772,2.005125420675071,0.016945988995831177,3.791912688586187,3.7394298356906406,148.9242553711,6,N,188.68242376838379,54.13424981023526
30773,0.38477163762332117,0.08618824188609611,0.3605795233872374,0.3388812974162514,148.9242553711,6,N,196.35581599841808,53.49601868184488
30774,0.2671287259955628,0.08536150365592052,0.2431135193833968,0.22257505124349758,148.9242553711,6,N,196.2868949437899,52.88860815328703
30775,0.7452356808043513,0.03285045541850782,1.1991713357897067,1.1823105887087233,148.9242553711,6,N,196.18546373471403,53.40490708144941
30776,0.8457020171823534,0.10308756509095077,0.34691325663346984,0.3225614464724246,148.9242553711,6,N,195.74452927448652,52.669116345736356
30777,0.2511406258999045,0.031715372253776034,0.6491819930843252,0.6244104886324786,148.9242553711,6,N,195.35097038885237,53.54640087426246
30778,0.8600390198751373,0.0837094662799593,0.48487842773140566,0.4515160274716693,148.9242553711,6,N,195.15201795284443,53.19880950675141
30779,0.6137631238501828,0.06865547057579778,0.46194988463722,0.4250447032893543,148.9242553711,6,N,195.09778039412902,52.59510700834821
30780,1.8576553203869866,0.10678003333630816,0.4894893040814483,0.45692939981749026,148.9242553711,6,N,194.5089086188236,52.86204085743007
30781,0.7373582987800988,0.06324799578251941,0.5126505423337315,0.47909030074721226,148.9242553711,6,N,194.50002660605864,52.381621965338475
30782,0.9911152072611968,0.048693031748268605,0.8108964388415586,0.784237097932917,148.9242553711,6,N,194.4034212393454,52.63974143179097
30783,1.0564003011845078,0.14076640098718182,0.3207082018006203,0.2711496321771131,148.9242553711,6,N,194.2940254986197,52.72253486544359
30784,0.5803010462068787,0.05071855065297163,0.5928146962983517,0.5522981218722267,148.9242553711,6,N,194.16045175005493,53.5726702141291
30785,1.2056007743646382,0.10664051707056321,0.4547134807987697,0.4303327387215002,148.9242553711,6,N,193.97092889272486,52.83147049356603
30786,0.875685411766448,0.12951393715941434,0.32775479880045433,0.30896265159954767,148.9242553711,6,N,193.82901060504867,52.29237261213281
30787,0.8240401256686611,0.049331584898101924,0.8845593827656588,0.8384553746071581,148.9242553711,6,N,193.65927780765836,53.090020067653974
30788,2.964114331497315,0.051956686852357374,1.3581589220835757,1.3101244091831408,148.9242553711,6,N,193.30001715957272,53.02006391306032
30789,0.40670168875102836,0.028625911833932777,0.9264213607344763,0.88086384918473,148.9242553711,6,N,200.0853957225681,52.71335805686768
30790,0.05877511453542752,0.044730631732021436,0.21275363716739157,0.20699841481083167,148.9242553711,6,N,199.93870714341736,52.51664833380929
30791,0.15607987539171825,0.024039929083649984,0.6846426533074608,0.6777636332554489,148.9242553711,6,N,199.6585605893252,52.785568022256996
30792,0.14905843810418065,0.0780149732238401,0.20292617681688477,0.19112770135993085,148.9242553711,4,N,199.64870383672329,53.12267215353445
30793,0.5431094309335036,0.07624599727615639,0.3931765224248408,0.37644326750233115,148.9242553711,6,N,199.45211239626937,53.463151755432555
30794,0.5006641159260421,0.05949264921455226,0.5344941677032554,0.5086126268621713,148.9242553711,6,N,199.31216532023618,52.04648559255581
30795,0.15163424721072374,0.04158368847129053,0.3629939070036471,0.34977307413244507,148.9242553711,6,N,199.09490822906696,52.95351391985585
30796,0.770524983083112,0.07352601971717623,0.48615640264516946,0.473769392810774,148.9242553711,6,N,199.05385165016224,53.773415186337644
30797,0.04624044436003149,0.02640281950763043,0.2971390397706175,0.28984846146156384,148.9242553711,6,N,198.94065246119445,52.398904471026626
30798,0.06626691214871791,0.010402648420492247,0.9899285726463276,0.972959680849153,148.9242553711,6,N,198.73431230752232,51.89681593846132
30799,0.3316863124954916,0.06478215937404135,0.34999437470491745,0.3367796541625341,148.9242553711,6,N,198.7309454809295,53.27266528821097
30800,0.577177720947921,0.1290842725939575,0.24799012982727897,0.22327187603178836,148.9242553711,5,N,198.7097875437044,53.06015002362611
30801,0.19326696650300354,0.057963016897819686,0.2873676772347511,0.26492955758063474,148.9242553711,6,N,198.68098010476166,52.443775474879516
30802,0.12041154058149675,0.031145354199564566,0.4024800398538323,0.3916417553667041,148.9242553711,6,N,198.49498044256543,53.47323329601311
30803,0.1187880001803867,0.03307016795587784,0.4031261635818135,0.38106034355007457,148.9242553711,6,N,198.16831542482063,53.2205874691437
30804,0.9913118658331606,0.06581701065074694,0.6187867841774594,0.5946947358932448,148.9242553711,6,N,197.83796891389773,53.297666524475446
30805,0.2301633494807335,0.05519810533514311,0.3830410422798597,0.35952162081586553,148.9242553711,6,N,197.80859978463428,53.40030274214495
30806,0.36520794756866054,0.05920983930527953,0.45362746300369833,0.43117112860759943,148.9242553711,6,N,197.63431734576412,52.23158839276698
30807,0.10254125048670303,0.035401995662278314,0.3856277576236675,0.3669798524759236,148.9242553711,6,N,197.28291232433966,52.41071390863605
30808,0.21324426190360427,0.06985184265512186,0.2852171177927512,0.2652716061800989,148.9242553711,6,N,197.1917260280753,53.09560141193907
30809,0.592378208680926,0.09310356256840739,0.41194448402720496,0.34378685631733624,148.9242553711,6,N,194.74166342333356,50.838092859619294
30810,0.6238416725073559,0.049946338677732224,0.7136223769829259,0.6704469616263216,148.9242553711,6,N,194.71416941756044,50.696162593183544
30811,1.756850933369644,0.18867453254788244,0.37964589549449174,0.34769987605780783,148.9242553711,5,N,194.48871371681992,50.930650554983565
30812,0.3783568690596725,0.03758466692037791,0.6992218796291323,0.6658654730797984,148.9242553711,6,N,194.32475732150115,51.60846564039321
30813,1.1125749705967456,0.038243664048784244,1.5127366418928943,1.4769930417093546,148.9242553711,6,N,194.13787918659574,50.1341881321002
30814,0.228750924447331,0.04968441176805044,0.3894809151698814,0.3711016435494586,148.9242553711,6,N,193.87460621823558,51.52132234937383
30815,1.2642641044100085,0.21549153261006915,0.2460205312749356,0.20850227960152357,148.9242553711,4,N,193.66946313886,51.1176307286016
30816,0.7698491908487802,0.19433860350819057,0.25398389467899624,0.2072002195390512,148.9242553711,3,N,193.64525195478117,50.23181043618202
30817,0.2920667636422152,0.053682231769954125,0.484477707571135,0.4538460923759378,148.9242553711,6,N,193.5512021571145,49.97660330929876
30818,0.16419331133299367,0.0526467093986107,0.3145265831508498,0.29514558978790617,148.9242553711,6,N,193.45364594540396,50.8912934144034
30819,1.5451770652610923,0.0970274307828295,0.5361840047138915,0.4929347890538598,148.9242553711,6,N,193.3481336335162,50.90905518777178
30820,0.3253314338450106,0.025322762025235243,1.1066907537013233,1.0808797241584815,148.9242553711,6,N,193.23076670534994,50.510053800261126
30821,0.18556203394165752,0.061795392067278535,0.32644340265153504,0.31190776483351623,148.9242553711,6,N,193.20673809715515,50.81264900280473
30822,8.507602847933052,0.01719543743399669,7.767333136381111,7.663321353307436,148.9242553711,6,N,192.93323806768893,50.57409759898131
30823,0.15325848471452835,0.06048480334157904,0.31395793070221095,0.3036910130290653,148.9242553711,6,N,192.6074984868968,51.45421978172305
30824,1.159477654496352,0.02214451292759334,2.249597750673727,2.1991680516185497,148.9242553711,6,N,192.36369390777583,51.7505494949462
30825,0.4308792567905196,0.029119231838348938,1.1052729141649071,1.0821529189644779,148.9242553711,6,N,192.32328162391926,50.083062388143844
30826,0.9171415240238551,0.1536298553209826,0.31856367908709776,0.2878396407916052,148.9242553711,5,N,192.14172461926327,51.46762169219931
30827,0.2220400082211323,0.094491345718062,0.22542354589201513,0.20997347635587954,148.9242553711,5,N,192.131512912762,51.23660539576685
30828,0.7791189443606241,0.04659623119946692,0.8332815459887235,0.7906722760215432,148.9242553711,6,N,191.82245379681262,51.17710645207937
30829,0.6217835960758756,0.1111753445491844,0.35693590585338936,0.31109710088351694,148.9242553711,3,N,194.8312659973053,54.53792469066651
30830,0.593213112270166,0.07393657883542641,0.42647177304492073,0.39874836216552495,148.9242553711,6,N,194.68365430437672,54.72544330057337
30831,0.9474494813631625,0.08466896947321227,0.4910604636447055,0.4699198581654703,148.9242553711,6,N,194.56494382108738,54.362605245808474
30832,0.46051087218313796,0.1546293158130329,0.20679894660670725,0.18682623100447898,148.9242553711,3,N,194.1541849760662,55.404224313176115
30833,2.695335903169904,0.038785543011659894,1.8086360097757477,1.7632096114232012,148.9242553711,6,N,194.10180492409697,55.47353802868218
30834,1.0531395090269642,0.0963225406354054,0.4371311684349658,0.42181265058144324,148.9242553711,6,N,194.0099513015277,54.305603911457986
30835,0.612085881404328,0.1276169342026196,0.296221241278128,0.24421369088373962,148.9242553711,6,N,193.99644029791042,55.64658353094897
30836,0.1979172331960415,0.05224151969620333,0.3671720067243995,0.34955871406718947,148.9242553711,6,N,193.3452084398701,55.865676327585305
30837,1.1593159418726553,0.0716004597738065,0.6563971618834353,0.5853813195757334,148.9242553711,6,N,193.29866745382154,54.06849545577854
30838,0.3910618319987512,0.013244337701132593,1.6382582435341022,1.5965230255067833,148.9242553711,6,N,193.18477759151452,54.380741945925635
30839,0.2337884607465334,0.03929052903111656,0.4421104871995582,0.4290856430038774,148.9242553711,6,N,192.98344786720622,54.61745722696027
30840,0.5870051704617567,0.05826427049716145,0.5674154291810006,0.5237010171529711,148.9242553711,6,N,192.91115191724353,54.46580324652947
30841,0.525972287084104,0.05450463485469634,0.5227125135134842,0.4943216228493159,148.9242553711,6,N,192.38143734491544,55.026858834449776
30842,0.3759479232500971,0.05962551398234796,0.4490670013758324,0.4165503850843463,148.9242553711,6,N,191.88232743541417,55.233442607687785
30843,0.5613293297770687,0.045864256872115754,0.6882354274421412,0.6631252984788865,148.9242553711,6,N,191.75943225333333,55.2279161118261
30844,2.2800468954948454,0.07584082657558887,0.9176417798368741,0.8758606906491233,148.9242553711,6,N,191.49300021762727,54.58701913221052
30845,0.19677844285415105,0.06907830550790942,0.3213336983140463,0.30689765806876446,148.9242553711,6,N,191.47700511723303,55.00403277277989
30846,0.2947879882612531,0.013820646518231582,1.6809355624278164,1.64590645987057,148.9242553711,6,N,198.3598941008564,50.702387984704814
30847,0.0923062328463874,0.0485645793197079,0.2453648322977827,0.2283031318322836,148.9242553711,5,N,198.15406439683633,51.106345473924996
30848,0.3682431897915802,0.049086165827966925,0.5062162052312862,0.46784578005105704,148.9242553711,6,N,198.07594156906816,51.22774910011849
30849,0.07484363368796049,0.03275106113463467,0.32806127509334215,0.3123900070265775,148.9242553711,6,N,197.96330157401144,51.00469903121801
30850,0.10667909276096736,0.015630387574496682,0.7787994311335293,0.766210496041837,148.9242553711,6,N,197.8680179820291,50.42139271994743
30851,0.44753320841340205,0.03250497398159263,0.7500187059763359,0.72432023612588,148.9242553711,6,N,197.47554029933198,51.51380125625308
30852,1.1596448136524617,0.16797225806186683,0.24826328022458108,0.23166629264804098,148.9242553711,5,N,197.46858104875707,50.6561244953647
30853,0.10321630670073596,0.03577574125851396,0.367990852585113,0.36148872916918334,148.9242553711,6,N,197.23387791039937,50.266290189829995
