runcat,eta,V,maxFlx,avgFlx,freq,dpts,newSrc
785,0.38617893489645,0.217333362303847,0.000256078006541622,0.000159102737913924,1283.8955078125,35,N
1094,0.547071596563329,0.335177050109531,0.000184373430194271,0.000117752032059354,1283.8955078125,31,N
321,1.0485861398117,0.183162057999735,0.00119416988605905,0.000896059075171256,1283.8955078125,61,N
320,2.95734233898396,0.0750432505627023,0.00528212260661319,0.00447988388708484,1283.8955078125,65,N
941,0.371059622275418,0.267569747789812,0.000278987656109075,0.000164500389622678,1283.8955078125,42,N
214,1372.90501549227,0.0692711792760653,0.0884126051636027,0.0712562029487668,1283.8955078125,65,N
1141,0.311127643628335,0.275235152429382,0.000176811664970449,0.000113638650388901,1283.8955078125,25,N
541,0.718493907797421,1.79326253674702,0.00101479071171291,8.63003820834944e-05,1283.8955078125,2,N
463,0.546369393221877,0.99111250547958,0.000334393777429499,6.03704240553689e-05,1283.8955078125,2,N
384,7.16825474668148,0.299791076551097,0.00620091738483139,0.00278938475932311,1283.8955078125,65,N
283,0.46840275357587,0.237641310685332,0.000614892049654251,0.000289849473686409,1283.8955078125,59,N
1488,0.62924778524538,0.229672109416754,0.000330083635251926,0.000217914464501058,1283.8955078125,56,N
765,0.413714791868224,0.281131493158935,0.000213640754172388,0.000144170199229839,1283.8955078125,31,N
113,698.709885765532,1.22078317524766,0.00426882409807718,0.000300163570065369,1283.8955078125,36,N
1425,1.02114709889976,2.87736344906466,0.00012719246521269,5.16551310025157e-06,1283.8955078125,2,N
950,0.513369922525721,0.69052124421491,0.000160352904109656,4.31632097271132e-05,1283.8955078125,3,N
531,2.12026195540505,2.14453932228532,0.00178515760056039,0.000164700619330123,1283.8955078125,3,N
23,0.753714599457253,1.32281984728595,0.000634149789703504,6.91998327068725e-05,1283.8955078125,2,N
240,0.498108722937786,0.449661068668576,0.000460327158244246,0.000161328433163962,1283.8955078125,14,N
800,0.430084785718432,0.366907269501814,0.000260205993405769,9.4134760759526e-05,1283.8955078125,20,N
91,0.719502732802042,0.581329280716251,0.000427850387978619,0.000126474561062024,1283.8955078125,9,N
797,0.571147534880749,0.242993661947871,0.000347111453702783,0.000161743468482123,1283.8955078125,58,N
478,0.403134244158971,0.252993186127655,0.000376796511523847,0.000193961657660205,1283.8955078125,54,N
764,0.644410679386165,0.797760650267912,0.000155015585308357,5.9030238843899e-05,1283.8955078125,3,N
1504,0.996482493349225,0.670403252214653,0.000381264879156726,8.66735141691968e-05,1283.8955078125,20,N
827,0.498806571907642,0.526564701767677,0.00014825380740718,7.88522054979226e-05,1283.8955078125,16,N
868,0.325280872139396,0.190885040769719,0.000245547285202812,0.000159776343922854,1283.8955078125,52,N
1506,0.939145341966594,0.459094300008291,0.00049968017579812,0.000179060195729056,1283.8955078125,36,N
1118,0.512179335388517,0.291539084020721,0.000204134918118007,0.000126907482663023,1283.8955078125,39,N
840,0.491029747495384,0.659516563321868,0.000155521825550704,4.34474750456937e-05,1283.8955078125,2,N
783,0.523093023452641,0.347085010848721,0.000162324800165764,0.000103264594068627,1283.8955078125,18,N
806,0.381146630145847,0.411197774188758,0.00013363874941381,7.43292969640939e-05,1283.8955078125,8,N
